ticker,pe_ratio,revenue_growth,roe,debt_to_equity,dividend_yield,industry,sector,score
ADBE,32.894653,0.106,0.35355,41.788,0.30247999999999997,Software - Infrastructure,Technology,7
AMD,102.69027,0.176,0.03262,3.927,36.835124500000006,Semiconductors,Technology,6
ABNB,45.010418,0.099,0.20873,26.614,0.38564998,Travel Services,Consumer Cyclical,7
ALGN,36.25983,0.018,0.11401,3.235,39.69,Medical Instruments & Supplies,Healthcare,6
ALL,11.699418,0.147,0.23783001,38.833,0.020299999,Insurance - Property & Casualty,Financial Services,7
GOOGL,25.43576,0.151,0.32101002,9.324,0.0042,Internet Content & Information,Communication Services,6
GOOG,25.653385,0.151,0.32101002,9.324,0.0041,Internet Content & Information,Communication Services,6
AMP,19.727516,0.119,0.56751,67.402,0.0115,Asset Management,Financial Services,6
ANSS,52.05085,0.312,0.10479999,14.888,0.16597,Software - Application,Technology,7
APA,3.3636365,0.104,0.6186,105.032,0.0422,Oil & Gas E&P,Energy,8
APO,16.426004,2.851,0.33501,92.115,0.0119,Asset Management,Financial Services,6
ACGL,6.0516777,0.418,0.30441,12.243,0.0227,Insurance - Diversified,Financial Services,9
ANET,54.971153,0.2,0.33833998,0.755,0.14550000000000002,Computer Hardware,Technology,8
ADSK,56.53968,0.119,0.57445997,105.214,0.16597,Software - Application,Technology,6
AZO,21.739237,0.09,0.5058,0.5058,0.5058,Specialty Retail,Consumer Cyclical,8
AXON,146.90721,0.317,0.16424,34.832,32.903633,Aerospace & Defense,Industrials,6
BRK-B,8.951669,-0.002,0.18441999,19.707,0.0227,Insurance - Diversified,Financial Services,6
BBY,14.258561,-0.031,0.4241,131.896,0.0404,Specialty Retail,Consumer Cyclical,6
BIIB,13.455696,-0.025,0.1047,40.656,34.5371855,Drug Manufacturers - General,Healthcare,6
BLK,23.584402,0.149,0.1505,32.503,0.021300001,Asset Management,Financial Services,6
BA,32.903633,-0.015,32.903633,32.903633,32.903633,Aerospace & Defense,Industrials,6
CDNS,78.68421,0.188,0.27072,61.911,0.16597,Software - Application,Technology,7
CCL,16.854166,0.152,0.20120001,352.355,0.38564998,Travel Services,Consumer Cyclical,7
CHTR,10.491542,0.016,0.32965,533.472,0.0315,Telecom Services,Communication Services,6
CVX,16.828571,-0.064,0.103520006,16.456,0.042600002,Oil & Gas Integrated,Energy,6
CMG,52.31481,0.13,0.45673,124.061,0.47146,Restaurants,Consumer Cyclical,6
CB,10.57055,0.078,0.16125,31.706,0.014099999,Insurance - Property & Casualty,Financial Services,6
CINF,6.9671125,0.833,0.25135002,6.331,0.0239,Insurance - Property & Casualty,Financial Services,9
CME,24.100945,0.185,0.12297,13.621,0.0454,Financial Data & Stock Exchanges,Financial Services,8
COP,12.090154,-0.079,0.20376,36.695,0.0306,Oil & Gas E&P,Energy,6
CRWD,670.8462,0.317,0.07334,27.398,0.30247999999999997,Software - Infrastructure,Technology,6
DECK,36.660778,0.201,0.4357,11.633,0.0208,Footwear & Accessories,Consumer Cyclical,6
