ticker,pe_ratio,revenue_growth,roe,debt_to_equity,dividend_yield,industry,sector,score
ADBE,37.232822,0.106,0.35355,41.788,0.30247999999999997,Software - Infrastructure,Technology,7
AMD,110.91151,0.176,0.03262,3.927,45.6842995,Semiconductors,Technology,6
ABNB,45.78472,0.099,0.20873,26.614,0.38564998,Travel Services,Consumer Cyclical,7
ALGN,38.86201,0.018,0.11401,3.235,39.69,Medical Instruments & Supplies,Healthcare,6
ALL,12.5404005,0.147,0.23783001,38.833,0.0189,Insurance - Property & Casualty,Financial Services,7
GOOGL,26.282867,0.151,0.32101002,9.324,0.0041,Internet Content & Information,Communication Services,6
GOOG,26.417973,0.151,0.32101002,9.324,0.004,Internet Content & Information,Communication Services,6
AMTM,42.71154,-0.031,42.71154,2.891,42.71154,Specialty Business Services,Industrials,6
AMP,20.744837,0.119,0.56751,67.402,0.0108,Asset Management,Financial Services,6
ANSS,52.824844,0.312,0.10479999,14.888,0.16409,Software - Application,Technology,7
APA,2.9381676,0.104,0.6186,105.032,0.0456,Oil & Gas E&P,Energy,8
ACGL,6.0731544,0.418,0.30441,12.243,0.0222,Insurance - Diversified,Financial Services,9
ANET,53.870815,0.2,0.33833998,0.755,0.14550000000000002,Computer Hardware,Technology,8
ADSK,60.15308,0.119,0.57445997,105.214,0.16409,Software - Application,Technology,6
AZO,22.336367,0.09,0.5058,0.5058,0.5058,Specialty Retail,Consumer Cyclical,8
AXON,167.53265,0.317,0.16424,34.832,32.566074,Aerospace & Defense,Industrials,6
BRK-B,9.206549,-0.002,0.18441999,19.707,0.0222,Insurance - Diversified,Financial Services,6
BBY,14.823629,-0.031,0.4241,131.896,0.0404,Specialty Retail,Consumer Cyclical,6
BIIB,13.779384,-0.025,0.1047,40.656,34.5829925,Drug Manufacturers - General,Healthcare,6
BLK,25.770216,0.149,0.1505,32.503,0.019199999,Asset Management,Financial Services,6
BA,32.566074,-0.015,32.566074,32.566074,32.566074,Aerospace & Defense,Industrials,6
CDNS,82.936676,0.188,0.27072,61.911,0.16409,Software - Application,Technology,7
CCL,22.004274,0.152,0.20120001,352.355,0.38564998,Travel Services,Consumer Cyclical,7
CF,13.650556,0.076,0.1792,42.006,0.0231,Agricultural Inputs,Basic Materials,6
CHTR,11.686149,0.016,0.32965,533.472,0.0315,Telecom Services,Communication Services,6
CVX,16.225822,-0.064,0.103520006,16.456,0.0437,Oil & Gas Integrated,Energy,7
CMG,59.916664,0.13,0.45673,124.061,0.47146,Restaurants,Consumer Cyclical,6
CB,11.276434,0.078,0.16125,31.706,0.013200001,Insurance - Property & Casualty,Financial Services,6
CINF,7.577081,0.833,0.25135002,6.331,0.021300001,Insurance - Property & Casualty,Financial Services,8
CME,24.821241,0.185,0.12297,13.621,0.044099998,Financial Data & Stock Exchanges,Financial Services,8
COP,11.567022,-0.079,0.20376,36.695,0.0313,Oil & Gas E&P,Energy,6
CPRT,42.71154,0.072,0.20129,1.573,42.71154,Specialty Business Services,Industrials,7
CPAY,25.252497,0.06,0.32836,253.558,0.30247999999999997,Software - Infrastructure,Technology,6
CRWD,764.05,0.317,0.07334,27.398,0.30247999999999997,Software - Infrastructure,Technology,6
DECK,37.185513,0.201,0.4357,11.633,0.0207,Footwear & Accessories,Consumer Cyclical,6
DVN,5.925,-0.102,0.26279,64.021,0.044499997,Oil & Gas E&P,Energy,7
FANG,9.073903,0.087,0.122650005,33.574,0.052199997,Oil & Gas E&P,Energy,7
DFS,14.05314,0.605,0.20263,105.313,0.015800001,Credit Services,Financial Services,6
DG,12.498349,0.042,0.20882,250.873,0.0297,Discount Stores,Consumer Defensive,6
EOG,9.877724,-0.039,0.24908,13.911,0.0313,Oil & Gas E&P,Energy,7
ERIE,39.359943,0.164,0.31418,0.406,0.0128999995,Insurance Brokers,Financial Services,6
EG,5.513633,0.128,0.20858,22.087,0.0224,Insurance - Reinsurance,Financial Services,9
EXPE,23.49675,0.033,0.38564998,255.417,0.38564998,Travel Services,Consumer Cyclical,6
EXPD,22.787937,0.37,0.30290002,23.009,0.0124,Integrated Freight & Logistics,Industrials,7
XOM,13.366128,-0.015,0.14513999,15.394,0.0365,Oil & Gas Integrated,Energy,6
FFIV,27.36506,0.056,0.19117,6.895,0.30247999999999997,Software - Infrastructure,Technology,6
FICO,105.4706,0.164,0.16409,0.16409,0.16409,Software - Application,Technology,7
FITB,14.993333,-0.03,0.119160004,16.009179,0.0324,Banks - Regional,Financial Services,6
FSLR,16.282759,0.108,0.17964001,9.141,0.0222,Solar,Technology,8
FMC,4.1792207,0.085,0.38454,90.927,0.044699997,Agricultural Inputs,Basic Materials,7
FTNT,49.743717,0.13,3.1152499,118.588,0.30247999999999997,Software - Infrastructure,Technology,6
FOXA,11.84841,0.111,0.17711,70.271,0.0115,Entertainment,Communication Services,6
FOX,11.256723,0.111,0.17711,70.271,0.0121,Entertainment,Communication Services,6
BEN,25.182354,0.113,0.04321,25.715,0.0584,Asset Management,Financial Services,7
GRMN,26.815353,0.241,0.21909,1.908,0.0139999995,Scientific & Technical Instruments,Technology,6
GPC,15.232603,0.025,0.24416,127.177,0.0337,Auto Parts,Consumer Cyclical,6
GL,9.066102,0.052,0.23546,67.544,0.009,Insurance - Life,Financial Services,6
GDDY,16.622393,0.073,0.30247999999999997,1107.373,0.30247999999999997,Software - Infrastructure,Technology,7
HIG,10.96985,0.095,0.19740999,25.629,0.0188,Insurance - Property & Casualty,Financial Services,6
HES,15.552386,0.133,0.2885,81.969,0.0147,Oil & Gas E&P,Energy,6
HPE,11.129534,0.101,0.086660005,53.696,0.024,Communication Equipment,Technology,6
HOLX,21.97289,0.045,0.13846,49.407,39.69,Medical Instruments & Supplies,Healthcare,6
HPQ,12.13879,0.024,0.14550000000000002,0.14550000000000002,0.028199999,Computer Hardware,Technology,7
IDXX,41.557377,0.066,0.59424,61.696,0.13084000499999998,Diagnostics & Research,Healthcare,6
INCY,766.111,0.238,0.00802,1.151,79.16316,Biotechnology,Healthcare,6
IPG,13.877359,-0.029,0.21792999,111.806,0.044099998,Advertising Agencies,Communication Services,6
ISRG,86.96309,0.169,0.15973,39.69,39.69,Medical Instruments & Supplies,Healthcare,6
IVZ,20.744837,0.051,-0.00944,5.597,0.045300003,Asset Management,Financial Services,6
IQV,25.942839,0.043,0.22001,200.258,0.13084000499999998,Diagnostics & Research,Healthcare,6
IRM,307.27777,0.122,0.54398996,0.0035000000000000005,0.0257,REIT - Specialty,Real Estate,7
JNJ,23.987625,0.052,0.20889,50.958,0.0345,Drug Manufacturers - General,Healthcare,6
LRCX,25.278318,0.197,0.49116,58.827,0.0117999995,Semiconductor Equipment & Materials,Technology,6
LEN,10.055777,0.079,0.15878001,14.665,0.013200001,Residential Construction,Consumer Cyclical,6
L,11.1283245,0.138,0.10669,52.247,0.003,Insurance - Property & Casualty,Financial Services,6
MTB,14.548447,0.012,0.08676,16.009179,0.027,Banks - Regional,Financial Services,6
MKTX,31.780487,0.2,0.21625,5.424,0.0127,Capital Markets,Financial Services,6
MTCH,14.247757,0.016,0.32101002,0.32101002,0.0235,Internet Content & Information,Communication Services,8
MCD,26.087719,0.027,0.47146,0.47146,0.0238,Restaurants,Consumer Cyclical,7
